Kategoria,Karta_PL,Karta_EN,Deadline_Prosta,Deadline_Odwrócona,Budzet_Prosta,Budzet_Odwrócona,Zespol_Prosta,Zespol_Odwrócona
Wielkie Arkana,0. Głupiec,The Fool,"Startujemy bez specyfikacji. YOLO. Jakoś to będzie.","Projekt widmo. Termin minął, a my nadal wybieramy czcionkę.","Inwestor rzucił kasą. 'Sky is the limit'.","Budżet przepalony na integrację, której nikt nie potrzebuje.","Nowy Junior w zespole. Pełen entuzjazmu, zero pojęcia.","Stażysta właśnie usunął bazę produkcyjną."
Wielkie Arkana,I. Mag,The Magician,"Masz wszystkie zasoby. PM, Dev i QA w jednym pokoju.","Feature creep. Chcecie zrobić wszystko naraz.","Dopięte na ostatni guzik. Kreatywna księgowość działa.","Ktoś tu manipuluje fakturami. Gdzie jest kasa?","Lider, który faktycznie umie kodować i zarządzać. Jednorożec.","Scrum Master, który tylko przeszkadza i robi dym."
Wielkie Arkana,II. Kapłanka,The High Priestess,"Intuicja mówi: to się uda przed czasem. Czekaj na sygnał.","Ukryte błędy w kodzie wyjdą po wdrożeniu.","Tajny fundusz operacyjny. Kasa 'na czarną godzinę'.","Budżet zamrożony przez zarząd bez wyjaśnienia.","Cicha woda w HR. Wiedzą o tobie wszystko.","Plotki w kuchni niszczą morale skuteczniej niż brak podwyżek."
Wielkie Arkana,III. Cesarzowa,The Empress,"Projekt rośnie zdrowo. Organiczny wzrost użytkowników.","Zależność od legacy code. Dusimy się.","Premie kwartalne dla wszystkich! Obfitość.","Koszty utrzymania biura zjadają zysk. Zbyt drogocenne kwiatki.","Matczyna opieka HR-u. Owocowe czwartki i masaże.","Szefowa, która traktuje zespół jak swoją własność. Mikromanagement."
Wielkie Arkana,IV. Cesarz,The Emperor,"Sztywny harmonogram. Wodospad (Waterfall) w pełnej krasie.","Chaos. Nikt nie pilnuje Jir-y. Anarchia.","Stabilne finansowanie. Korporacja płaci na czas.","Ciach. Budżet ucięty czerwoną kredką dyrektora.","Szef z twardą ręką. Wymaga, ale dowozi.","Tyran. 'Nadgodziny są obowiązkowe i bezpłatne'."
Wielkie Arkana,V. Kapłan,The Hierophant,"Procedury są święte. Róbcie tak, jak napisano w Wiki.","Bunt przeciwko procedurom. Robimy 'po swojemu' i psujemy.","Szkolenia i certyfikaty opłacone. Inwestycja w wiedzę.","Kasa idzie na konsultantów, którzy mówią rzeczy oczywiste.","Mentor w zespole. Senior uczy Juniora.","Zostajemy po godzinach, bo 'tak u nas wypada'. Kult zapierdolu."
Wielkie Arkana,VI. Kochankowie,The Lovers,"Idealny moment na fuzję lub partnerstwo strategiczne.","Zła decyzja biznesowa. Wybraliście najtańszego vendora.","Wspólny budżet z innym działem. Synergia.","Konflikt interesów. Kto płaci za ten lunch?","Dobra chemia w teamie. Pair programming działa.","Romans biurowy rozwala atmosferę w dziale."
Wielkie Arkana,VII. Rydwan,The Chariot,"Sprint! Dowozimy temat przed czasem. Pełna naprzód.","Wypadek przy pracy. Projekt wykoleił się na ostatniej prostej.","Premia za sukces. Szybki zwrot z inwestycji (ROI).","Koszty paliwa (kawy i pizzy) przekroczyły zyski.","Zespół zmotywowany jak nigdy. Jadą na redbullach.","Konflikt liderów. Każdy ciągnie kierownicę w swoją stronę."
Wielkie Arkana,VIII. Moc,Strength,"Wytrzymamy ten crunch. Mamy zapas mocy.","Wypalenie materiału. Zespół pada na twarz.","Stabilny cashflow mimo kryzysu na rynku.","Lęk przed inwestycją. Trzymanie kasy w skarpecie.","Asertywny lider. Miękko zarządza, twardo egzekwuje.","Agresja pasywna na Slacku. 'Per my last email...'."
Wielkie Arkana,IX. Pustelnik,The Hermit,"Czas na refaktoryzację. Dajcie nam spokój na tydzień.","Izolacja. Robimy system, którego nikt nie chce.","Oszczędności. Cięcie kosztów zbędnych licencji.","Brak środków na cokolwiek. Bieda-projekt.","Specjalista, który siedzi w piwnicy i wie wszystko.","Zespół nie komunikuje się ze światem. Silos informacyjny."
